imdbId,movie_title,title_year,releaseDate,genres,writers,director_name,sequel,hitFlop,actor_1_name,actor_2_name,actor_3_name,actor_4_name
tt0118578,Albela,2001,20-Apr-01,Romance,Honey Irani (screenplay) | Honey Irani (story) | Javed Siddiqui (dialogue),Deepak Sareen,0,2,Govinda , Aishwarya Rai Bachchan , Jackie Shroff , Namrata Shirodkar
tt0169102,Lagaan: Once Upon a Time in India,2001,08-May-02,Adventure | Drama | Musical,Ashutosh Gowariker (story) | Ashutosh Gowariker (screenplay) | Kumar Dave (screenplay) | Sanjay Dayma (screenplay) | K.P. Saxena (dialogue),Ashutosh Gowariker,0,6,Aamir Khan , Gracy Singh , Rachel Shelley , Paul Blackthorne
tt0187279,Meri Biwi Ka Jawab Nahin,2004,02-Jul-04,Action | Comedy,N/A,Pankaj Parashar | S.M. Iqbal,0,1,Akshay Kumar , Sridevi , Gulshan Grover , Laxmikant Berde
tt0222024,Hum Tumhare Hain Sanam,2002,24-May-02,Drama | Romance,K.S. Adiyaman | Arun Kumar (assistant dialogue) | Ashok Mehta (assistant dialogue) | Reema Rakesh Nath (dialogue),K.S. Adiyaman,0,4,Shah Rukh Khan , Madhuri Dixit , Salman Khan , Atul Agnihotri
tt0227194,One 2 Ka 4,2001,30-Mar-01,Action | Comedy | Drama,Sanjay Chhel | Raaj Kumar Dahima (screenplay) | Manoj Lalwani (screenplay),Shashilal K. Nair,0,1,Shah Rukh Khan , Juhi Chawla , Jackie Shroff , Nirmal Pandey
tt0238936,Devdas,2002,12-Jul-02,Musical | Romance,Saratchandra Chatterjee (based on the novel by) | Prakash Kapadia (screenplay) | Sanjay Leela Bhansali (screenplay) | Prakash Kapadia (dialogue),Sanjay Leela Bhansali,0,6,Shah Rukh Khan , Madhuri Dixit , Aishwarya Rai Bachchan , Jackie Shroff
tt0247911,Aap Mujhe Achche Lagne Lage,2002,19-Apr-02,Action | Drama | Romance,Robin Bhatt (story) | Girish Dhamija (dialogue) | Sanjeev Duggal (story),Vikram Bhatt,0,2,Hrithik Roshan , Ameesha Patel , Kiran Kumar , Mukesh Tiwari
tt0248126,Kabhi Khushi Kabhie Gham...,2001,14-Dec-01,Drama | Musical | Romance,Karan Johar | Sheena Parikh (screenplay),Karan Johar,0,8,Amitabh Bachchan , Jaya Bhaduri , Shah Rukh Khan , Kajol
tt0248216,Na Tum Jaano Na Hum,2002,10-May-02,Comedy | Drama | Musical,Pratibha Acharya (dialogue) | Arjun Sablok,Arjun Sablok,0,1,Saif Ali Khan , Hrithik Roshan , Esha Deol , Alok Nath
tt0248617,Yaadein...,2001,27-Jun-01,Musical | Drama | Romance,Subhash Ghai (dialogue) | Subhash Ghai (screenplay) | Amrik Gill (dialogue) | Aatish Kapadia (screenplay) | Anuradha Tiwari (screenplay),Subhash Ghai,0,2,Jackie Shroff , Hrithik Roshan , Kareena Kapoor , Amrish Puri
tt0255713,Zubeidaa,2001,19-Jan-01,Adventure | Biography | Drama,Khalid Mohamed (original story and screenplay) | Javed Siddiqui (dialogue),Shyam Benegal,0,1,Karisma Kapoor , Rekha , Manoj Bajpayee , Rajit Kapoor
tt0256692,Chori Chori Chupke Chupke,2001,09-Mar-01,Drama | Musical | Romance,Shyam Goel (screenplay) | Javed Siddiqui (dialogue) | Neeraj Vora (story),Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,0,5,Preity Zinta , Salman Khan , Rani Mukerji , Amrish Puri
tt0265148,Main Prem Ki Diwani Hoon,2003,27-Jun-03,Musical | Drama | Romance,Sooraj R. Barjatya,Sooraj R. Barjatya,0,2,Hrithik Roshan , Kareena Kapoor , Abhishek Bachchan , Johnny Lever
tt0265452,Officer,2001,14-Mar-01,Action | Crime | Drama,Naeem Sha (dialogue) | Naeem Sha (screenplay) | Naeem Sha (story),Naeem Sha,0,2,Sunil Shetty , Raveena Tandon , Danny Denzongpa , Sadashiv Amrapurkar
tt0267363,Chandni Bar,2001,28-Sep-01,Crime | Drama,Mohan Azaad (dialogue) | Mohan Azaad (screenplay) | Madhur Bhandarkar | Masud Mirza (dialogue),Madhur Bhandarkar,0,5,Tabu , Atul Kulkarni , Rajpal Yadav , Shri Vallabh Vyas
tt0271604,Kuch Khatti Kuch Meethi,2001,19-Jan-01,Drama | Family,N/A,Rahul Rawail,0,2,Kajol , Rishi Kapoor , Rati Agnihotri , Sunil Shetty
tt0272543,Censor,2001,14-Feb-01,Musical | Romance,Dev Anand,Dev Anand,0,1,Dev Anand , Hema Malini , Shammi Kapoor , Rekha
tt0272607,Farz,2001,12-Jan-01,Action,N/A,Raj Kanwar,0,4,Sunny Deol , Preity Zinta , Jackie Shroff , Om Puri
tt0272735,Mujhe Meri Biwi Se Bachaao,2001,18-Jun-01,Comedy | Musical | Family,Harry Baweja (story) | Anees Bazmee (screenplay) | Imtiaz Patel (dialogue),Harry Baweja,0,1,Rekha , Naseeruddin Shah , Arshad Warsi , Suman Ranganathan
tt0272736,Mujhse Dosti Karoge!,2002,09-Aug-02,Musical | Romance | Drama,Aditya Chopra | Kunal Kohli,Kunal Kohli,0,2,Rani Mukerji , Hrithik Roshan , Kareena Kapoor , Uday Chopra
tt0273164,Daman: A Victim of Marital Violence,2001,04-May-01,Drama | Family,Kalpana Lajmi,Kalpana Lajmi,0,1,Raveena Tandon , Sayaji Shinde , Sanjay Suri , Raima Sen
tt0273406,Aashiq,2001,26-Jan-01,Action | Comedy | Drama,Rajeev Kaul,Indra Kumar,0,3,Bobby Deol , Rahul Dev , Dinesh Hingoo , Vrajesh Hirjee
