director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,Drama,gadhvi (he thought he was gandhi),Rasika Dugal Vivek Ghamande Arvind Jangid Gaurav Bakshi Drama
Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,Comedy Romance,yaaram,"Prateik Ishita Raj Siddhant Kapoor Ovais Khan Comedy, Romance"
Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,Comedy Drama Musical,aur pyaar ho gaya,"Bobby Deol Aishwarya Rai Bachchan Shammi Kapoor Rahul Rawail Comedy, Drama, Musical"
Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,Drama Romance War,yahaan,"Jimmy Sheirgill Minissha Lamba Yashpal Sharma Shoojit Sircar Drama, Romance, War"
Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,Horror Mystery Thriller,?: a question mark,"Yash Dave Muntazir Ahmad Kiran Bhatia Allyson Patel Horror, Mystery, Thriller"
Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,Action Crime Thriller,andheri,"Augustine Fathima Babu Byon Biju Bhaskar Nair Action, Crime, Thriller"
Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,Drama,1:1.6 an ode to lost love,Rati Agnihotri Gulshan Grover Atul Kulkarni Madhu Ambat Drama
Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,Horror,1:13:7 ek tera saath,Pankaj Berry Anubhav Dhir Hritu Dudani Arshad Siddiqui Horror
Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,Horror Romance Thriller,100 days,"Jackie Shroff Madhuri Dixit Javed Jaffrey Partho Ghosh Horror, Romance, Thriller"
Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,Comedy Drama Romance,100% love,"Jeet Koyel Mallick Sujoy Ghosh Rabi Kinagi Comedy, Drama, Romance"
Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,Comedy Drama,102 not out,"Amitabh Bachchan Rishi Kapoor Vijay Raaz Umesh Shukla Comedy, Drama"
Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,Comedy Drama Romance,10ml love,"Neil Bhoopalam Anusha Bose Manu Rishi Chadha Sharat Katariya Comedy, Drama, Romance"
Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,Crime Drama Mystery,12 o'clock,"Guru Dutt Waheeda Rehman Shashikala Pramod Chakravorty Crime, Drama, Mystery"
Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,Horror Thriller,12 o'clock,"Mithun Chakraborty Makrand Deshpande Dalip Tahil Ram Gopal Varma Horror, Thriller"
Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,Comedy Horror,127 b,"Mast Ali Aziz Naser Heena Shaik Seshu Kmr Comedy, Horror"
Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,Drama Horror Mystery,13b: fear has a new address,"Madhavan Neetu Chandra Poonam Dhillon Vikram K. Kumar Drama, Horror, Mystery"
Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,Drama,15 park avenue,Shabana Azmi Konkona Sen Sharma Rahul Bose Aparna Sen Drama
Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,Drama,15th august,Ronit Roy Tisca Chopra Shakti Kapoor Vicky Ranawat Drama
Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,Action Thriller,16-dec,"Milind Soman Danny Denzongpa Gulshan Grover Mani Shankar Action, Thriller"
Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,Action,18.11,Rehal Khan Gulshan Grover Mukesh Tiwari Mohibul Haque Action
Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,Drama History,1857,"Nigar Sultana Suraiya Menaka Devi Mohan Sinha Drama, History"
Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,Drama,19 revolutions,Tarun Arora Gulshan Grover Vinay Pandey Sridhar Reddy Drama
Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,Horror Mystery Romance,1920,"Rajniesh Duggall Adah Sharma Anjori Alagh Vikram Bhatt Horror, Mystery, Romance"
Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,Horror Mystery,1920 london,"Sharman Joshi Meera Chopra Vishal Karwal Dharmendra Suresh Desai Horror, Mystery"
Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,Drama Horror Romance,1920: evil returns,"Vicky Ahuja Tia Bajpai Tarakesh Chauhan Bhushan Patel Drama, Horror, Romance"
Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,Horror Mystery Romance,1921,"Zareen Khan Karan Kundra Vikram Bhatt Vikram Bhatt Horror, Mystery, Romance"
